Id	InstrumentId	InstrumentMapping	InstrumentMappingId	Isin	Isin_Status	Desc	Issuer	IssuerId	IssuerType	MarketId	ParValue	SecurityType	SecurityTypeStr	Status	StatusStr	TermCode	Ticker	Type	TypeStr	PriceMultiplier	ExternalId	ExternalSource	DeliveryMethod	Eligibility	ErrorMsg	ErrorFlag	DateStart	DateStop	DateSettl	DateSettl_Status	DateIssue	Currency	CurrencyStr	CurrencyDefaultFlag	Date	Country	Code	CodeType
B359	B359			TRIEURALL	0	TRIEURALL					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	1	EUR	0	20170724	EU	TRIEURALL	2
B360	B360			TRIEURGOV1A	0	TRIEURGOV1A					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	1	EUR	0	20170724	EU	TRIEURGOV1A	2
B361	B361			TRIEURGOV2A	0	TRIEURGOV2A					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	1	EUR	0	20170724	EU	TRIEURGOV2A	2
B362	B362			TRIEURGOV3A	0	TRIEURGOV3A					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	1	EUR	0	20170724	EU	TRIEURGOV3A	2
B363	B363			TRIEURGOVT	0	TRIEURGOVT					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	1	EUR	0	20170724	EU	TRIEURGOVT	2
B364	B364			TRIGBPAGY	0	TRIGBPAGY					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	9	GBP	0	20170724	GB	TRIGBPAGY	2
B365	B365			TRIGBPCOR2A	0	TRIGBPCOR2A					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	9	GBP	0	20170724	GB	TRIGBPCOR2A	2
B366	B366			TRIGBPGOV1A	0	TRIGBPGOV1A					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	9	GBP	0	20170724	GB	TRIGBPGOV1A	2
B367	B367			TRIGBPGOVT	0	TRIGBPGOVT					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	9	GBP	0	20170724	GB	TRIGBPGOVT	2
B368	B368			TRIUSDAB	0	TRIUSDAB					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	2	USD	0	20170724	US	TRIUSDAB	2
B369	B369			TRIUSDALL	0	TRIUSDALL					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	2	USD	0	20170724	US	TRIUSDALL	2
B372	B372			TRIGBPALL	0	TRIGBPALL					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	9	GBP	0	20170724	GB	TRIGBPALL	2
B358	B358			TRIEURAGY	0	TRIEURAGY					0	17	Repo Basket	40	Open			0	Undefined	0.01					<ValidationErr><ValidationWarn>	0	0	0	0	16	0	1	EUR	0	20170724	EU	TRIEURAGY	2
E21	E21			US0865161014	16	BBY US	BEST BUY CO INC		UNKN		0	13	Equity	40	Open		BBY	0	Undefined	1	US0865161014				<ValidationErr><ValidationWarn>	0	0	0	0	16	19700101	2	USD	0	20170724	US	US0865161014	2
FBA2024BAU4	FBA2024BAU4	ALL.CM_INSTRUMENT.MPP.BAU4	MPP=BAU4		16	BAU4					0	4	Future	40	Open		BAU4	4	Future	0.01					<ValidationErr><ValidationWarn>	0	20240918	20241218	20170724	16	0	5	CAD	0	20170724	CA	BAU4	4
